title,event_link,event_date,location,image_url
ATL - April Alumni Event Planning Meeting,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/atl-april-alumni-event-planning-meeting,"April 02, 2025","ATLANTA, GA",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16394978/atl_mellowmushroom_800x600.jpg
Spring Carnival & Reunion Weekend,https://cvent.me/nvOmmR,"April 03, 2025",PITTSBURGH,https://www.cmu.edu/engage/images/alumni/carnival25_374x200.jpg
"SF - Illah Nourbakhsh on ""Turn Left"": A Story of Immigration & Tech",https://www.givecampus.com/schools/CarnegieMellonUniversity/events/sf-illah-nourbakhsh-on-turn-left-a-story-of-immigration-tech,"April 04, 2025",,https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16394980/sf_illah_book_800x600.png
PIT - April Neighborhood Lunch in North Fayette,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/pit-april-neighborhood-lunch-in-north-fayette,"April 08, 2025","PITTSBURGH, PA",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16394999/Bravo-kitchen-800x600.jpg
NEO - Cleveland Dance Project Showcase,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/neo-cleveland-dance-project-showcase,"April 12, 2025","INDEPENDENCE, OH",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16395000/neo_dance_800x600.jpg
LA - Dodgers & Pirates at Dodger Stadium,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/la-dodgers-pirates-at-dodger-stadium,"April 26, 2025","LOS ANGELES, CA",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16395002/la_dodgers_pirates_800x600.jpg
Here to Stay: Celebrating 40 Years at the Architecture Archives,https://library.cmu.edu/about/exhibits/architecture-archives-40-years,"June 01, 2025",PITTSBURGH,https://www.cmu.edu/engage/images/linvio-events/fy-2024/05-may/here-to-stay_374x200.jpg
"DC - ""Andy Warhol in Iran"" Play at Mosaic Theater & Private Talkback",https://www.givecampus.com/schools/CarnegieMellonUniversity/events/dc-andy-warhol-in-iran-play-at-mosaic-theater-private-talkback,"June 06, 2025",WASHINGTON,https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16394950/dc_warhol_iran_800x600.jpg
NEO - Summer Social: Guardians Game,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/neo-summer-social-guardians-game,"June 08, 2025","CLEVELAND, OH",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16395003/neo_gaurdians_800x600.jpg
Faculty Dialogues: IDeATe and ETC - Exploring the Intersection of Technology and Creativity,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/faculty-dialogues-ideate-and-etc-exploring-the-intersection-of-technology-and-creativity,"March 26, 2025","VIRTUAL WEBINAR, ONLINE",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16395034/FacultyDialoguesWebinar_IdeateETC_800x600_ACE-25-132_01__1_.png
